text,type
благодаря пополниться мой набор юный маг :-). теперь хотеть ещё эьфийский каффы!,1
с толстожопа арина карочий а я худышка да :| http://t.co/kco4rscu9u,0
1 випасть сн1г!!!!!!!!!!!!!!!! 1 валить валить валить шо хз як я зхатить вийд на трен)))) то п14аля,1
rt @xyxucijufov: пройти  и что? только худой стать  в офис топор можно повесить от духоты. весь жопа уже мокрая(((,0
дааа я ещё ребёнок и я ещё растить и расти((((этый ж в 18 лет!,0
rt @1manuel1neuer1: @sleep_my_love бедная(,0
rt @memonigetoz: вычитать тут в гугловский style-guide ( ma,0
стать микуфагом. надо он пакованчик вокалойд скормить. =),1
@alexandrmihalev странные)) эйфория и блаженство не ощутить :d,1
класс. только это не хватало( @zavtraru: в петербург более полмиллиона мигрант не мочь найти работа http://t.co/ihxzmgp0qs,0
английский... уже хотеть домой( http://t.co/qqfuylvjeq,0
@onlinekpru @cio_optimal с гусь-вод  с толика-худоба!!! :-/,0
я кажется заболеваю( мама налить чаять с малиной!!!!,0
сказать бывший одноклассник  что хотеть стать ассенизатор :) http://t.co/bhwhpanhy1,1
@uprt_sterekoman да  они тот ещё прихлопы. ну  как чего? развивать паранойя -.- вечно в чем -то себя ругаю. и так грустно от всего:(,0
опять кнопка 5 работать временами :( ну щас то что она не хватает? и от вода защищать  и не вод это  не тот симптомы..,0
@tanyushalysenko :(( это пережиток быдловства....,0
rt @_pest: я один не знать  что в беларусь через сайт mobilcom.by весь ещё можно отправлять сообщение на пейджер?!? о_о #twiby,0
rt @summeeeerrrrr: подивиться #theblingring   захотілось тусити так як вони( http://t.co/r72bipr9mq,0
солнце  прекрасный погода.пойти в баскетбол поганять ^_^,1
блять ну зачем:((( ненавидеть это состояние  чтоб он,0
холод послать нахуй(((( http://t.co/f2cw1rf4fi,0
rt @_n_a_s_t_i_a__: @_svetusya черта  я тоже так хотеть :(,0
@go_bruges что ты к я придираться постоянно :(,0
rt @denp80: http://t.co/m1alaqyogg осень. октябрь. слякоть. что за закон подлости? днюх у меня… правда  я простыть  на дискотека не пошла(,0
на сегодня всё. пока твиттерян - я с морфеем... :),1
иногда полездно оставаться на един с сам собой..:),1
скататься впервые на родники!!! не думать  что настолько далеко!!!((,0
и опять я сталкнуться с вечный проблема что же одеть на фотосесия для школьный альбома((,0
спасть с мудить в разный комната  и котэ предпочесть с он :(,0
@do_or_die_azaz я фот уж скачать на комп попробовать то ли это,0
предлагать ваш внимание очередной музыкальный подборка с матч континентальный хоккейный лиги!) http://t.co/9hqkcfcbix,1
@dasha72ryzhkova даша там стоить отсутствовать по уважительный причина и ряд 2 :( я расстроиться ;(,0
rt @tschelovek72: @boehpyk @kivinsergey @ryakhovskiy @tarasovvalentin @amatorystewart договорились?) http://t.co/ewg2dewqbp,1
черта  да что же за настроение то такое?) как раз под он george thorogood — dad to the bone,1
папа заходить в комната  а я фоткаяться  тут он начинать я передразнивать. ржать уже минута 5 :d http://t.co/lk0zxikhu8,1
за он можно много оружие купить. &gt,1
а мужик-то и не знать  что в сабж так весь плохо с rdp на винд 2008 с русский пользователь о_о,0
@open_faster ((( нужный организация  причём на месте. много такой  как я  но и другой хватает((,0
@saturnych в четверг в час ночь уже быть в кл  высадить друг в вильнюс  и крутануть в белосток  потом назад в вильнюс :) и на кл в вск.,1
внезапно настать лето? дом из оба крановый течь холодный вода. :-/,0
@mendulladiana как то не очень :( что то у я сердце колет т.т ты как милый? :з,0
rt @yourmahor: по какой критерий выбирать шапка  если ты ващий никакой не идти сукабля?(,0
@astyen я пара раз себя фотографировать вместо участника),1
@songgrooove собираться они оставить) но потом часик благополучно исчезли..),1
мочь я поздравить  мой жена беременна! похоже  скоро стать папа :),1
где твой крыло который нравиться мне. радио мгту радует)# bmstu,1
rt @itclom: влюбляться два раз за два дня.шлюха:(((((((,0
как можно быть настолько пян чтобы он вообще ещё понятие не иметь как иметь понятие))))))),1
@naaaass даааа  очень скучать :( каждый раз в время гонка вспоминать он,0
выпилить powerpill и perl-xyne-arch из свой арча  разработчик отказаться от они поддержка  а жаль( #archlinux,0
я уже и забыть как это писать в твиттер! зайти сегодня  и знаете  как домой пришла. я вернулась;),1
rt @anastasia_terre: @tokkata_tokkata @voice1tv весь идти на благотворительность  не переживайте),1
rt @lukofucinep: ну так я и говорить — хардкор. :) а нафиг такой микроменеджмент заниматься?,1
rt @katya94532700: так замёрзлый пока идти домой(,0
#лентакиньсвоюфоткувтвиттер ну вы понять где я:dd http://t.co/te5c6h3lgm,1
rt @ypigoxaps: можно быть бы умереть  это произойти бы уже давно:-(,0
@justtsk дать знать что получиться по сайт  а то я не мочь достучаться )),1
@yrashka_lukin я хотеть с друг встретить  но не получается:(( ну ничто  дом сам то и вообще  я считать новый год домашний праздник,0
rt @julia12304906: -в розовых!? --в леопардовый задерзила) ахахахах,1
так быть рада её видеть сегодня)) когда обнимать  то думать ребро она сломаю:3,1
жуйк! подсказать хороший фильм посмотреть  пожалуйста. не очень известный  этот я весь пересмотреть :(,0
я не хотеть болеть. я только выздоровела( блин.,0
rt @hochulubvi: самый хороший-наш мальчик &lt,1
"@myppppka ""у я ребёнок двое мальчик и дев...ь ещё мальчик"":d..н и хорошо что ты там нет и не было!сладкое сон ты и сынуле)&lt;3",1
@vstognienko мочь за вы сумка потаскать)))) зовите!,1
кто с я сегодня на каток пойти в 18:00? я правда не с кем(,0
коллега на работа сказать  что я скоро 30 :(,0
сегодня познакомиться с мальчик по имя дима  он быть так мила и вежливый с я  мы проговорить весь дорога до дом как жаль что он 6 лет:(,0
:( rt: @5umm: если однажды скорость убить я  то не плакать  потому что я улыбался. © половина уокер,0
и снова кулинарю) десерт для мой маленький именинник ,1
пожениться  пока ещё не слишком поздно. =( #teamfollowback,0
посмортеть новый серия дв  сказать что я ахуесть  ничто не сказать!) очешуенный серия!),1
@ybisgloriaybh блин  ну тогда мама за я взять  а она быть бабка давать  вообщий ещё не знать  весь обдумывать надо :(,0
rt @yury_bird: @veronakamasheva go 21 декабрь на открытие горнолыжки=) http://t.co/g7m0yhzsv5,1
"rt @iiyaxx: @anny_nazarik я ты поздравила. а ты не заметила) 87 балл по рт  ""могёшь"" просто. умница!",1
ой  angel beats начинаться 11 апреля! весна становиться весь интересный :),1
@alisha_4172 они весь на флешек не влезли:(,0
rt @wafuhogojuh: сдохнуть венд на десткопе. музыка на ноут нет. теперь я понимать трушность ластфм  но вот платить за него. :(,0
как-то даже немного жалко брат кличко  бедолага совсем бокс мозги отшиб.. :-(,0
хотеть найти как я доехать на троещину.карта отправить я в париж!по мой это намёк х) http://t.co/derptjli2j,1
rt @izdato: досмотреть игра престол  хоть и зарекаться смотреть недоснятой сериалы. теперь быть ждать и страдать. :(,0
так спать хочу:( ибо 4 час разница и я отвыкнуть от наш времени:(,0
разговор с мама до ночь о генетика - ахеренно. оказываться  мой кошка гомозиготный по доминантный признак  ибо ген дикий окр. доминирует),1
rt @trufanova20: и тут я почувствовать себя старый :( #энергет #хочувлагерь http://t.co/6bdqintalk,0
@hromadsketv уффф  как же тошнить от этот ваш гостьи... как-то зачастить вы с она :(,0
@a_yakimova я закончить колледж связь и информатика  я мочь весь ;)),1
друг на география :( даже попереписываться не с кто  удача имя на контрольный :3,0
а самый замечательный  что в холодильник томиться джииииина :*:*:*,1
достижение хх век :( @i_marx_you @alexey_pushkov в хх век наш страна добиваться выдающийся успехов//. чем мочь похвастаться в ххi?,0
напиток покрепче  слово покороче. так простой   так лёгкий стираться ночи! а вообще нет! слово быть сказать достаточно! много лишнего:(,0
но повар зарезать он специальный кошерный нож  и двор гостиница потонуть в крови. :-) #ff #follow,1
@___sleepy___ лешенек  с праздник :) утинный счастья!,1
@alina_karri ццц.. ну так не честно вообще (,0
rt @1d_ualoveyou: я в ништый :d http://t.co/imdrrkzujv,1
к один неделя сессия готовый  это радовать :) а сейчас спать :),1
как я лень((( идти на пара особенно на такой 1 пара биология 2 пара математика 3 пара укр. литература 4 пара фи-р,0
@_existentialism я в курсе.неужтый хороший общительный и милый в общение парный кроме шосик мало?),1
@nastua9609 я нужный твой номер!!твиттер в 100 раз выбивать я ((((((,0
rt @rygutujeheg: полюбить  выйти замуж  нарожать ребёнок  и быть весь заебись!!!:),1
@a_konoval лягушка  как самый неприятный и откладывать дело :),1
как страшно влюбиться в человек с который гуляеш и приеть у он есть девушка(,0
@valeraa_valera да так.. весь большой по вокзал шныряю))) ахахаа,1
rt @voxafugigehu: safari 4 на win7 работать просто ужасно  верный вообще не работать ((,0
@elenarusskaia я и в азбука вкус быть  тут ряд - весь тоже самый только в 10 раз дорогой (,0
только что узнать  что наталия орейро приехать в москву!через неск. день поехать в польша давать концерты!ь весь мимо нас!этый не справедливо!(,0
никогда ранний не фотографироваться на фон ёлка на майдан ) #euromaidan @ євромайдан http://t.co/1xzl8rpctz,1
аккумулятор на таблетка стать садиться за день(,0
ёлка  хде я работаю? о_о сегодня видео объявление о спецкурс в фмшуге: молекулярный вирусология. 10-11 класс!,0
корчев удалить я из друзей:((((( кинуть обидка за скрин в подслушать ахахахахаххахаххаххах,0
@hawaruzil  гавный сегодня день  потому что у я весь день невыносимый болеть голова :(((,0
@ksrbrnsk да ну ты  ты отлично писать  а отклик всегда зависеть от расположение дух читателей. а читатель-11классник всегда уставшие(,0
я выйти с рк трезвый ! юхууууа !!!!! я последний герой :d,1
мы с мой солнышко заболеелии. а школа никак не пропустить сейчас(,0
игорь пополнить счёт ))))ура и у я пять урок ))))),1
@lisameli я ты скинуть  прислать свой почту. плюс сегодня там чёрный пятница  скидка большой на товар с скидкой))),1
00:00 #ночнойминск и я спать. весь спокойный ночь и сладкое сон :* http://t.co/k0iyolqdsi,1
"rt @gyvepuhofed: оказываться  у мы есть клиент с название ""миро смазок"". я кааааак представить это  кааак заржать :)",1
что-то случиться с дебаггером( или с я  но так работать невозможно,0
rt @anndz15: из-за огромный задница минаж лысикова ничто не видит:(,0
@chelovekonline маленький толстенький лысенький  старый больной женщина  никто не нужна:((,0
rt @taychik_aga: только мысль о тот  что мы быть учиться в разный место после 9  уже вызывать слеза :(,0
вот так всегда — когда куча идея на выходной  то обязательно вызывать на работа ((,0
как ты я хотеть что бы я никто не нравиться :(,0
жаль что я никак не мочь повлиять на это очень жаль(,0
ездить к стоматолог зуб сверлили. пломба ставили. поеду:( сегодня один раз к он ходить  именно на счёт зуб а то так на счёт пластинка,0
как уговорить папа прокатиться до академа?(,0
завтра не быть картинка на тема рок( ибо дохуй дел(,0
@alexey__kovalev я бы проголосовать  но уличить же в мошенничество или вмешательство в внутренний дело :(,0
@bar_maley сосед потом слушать перфоратор ) а шуруповерт тихий же,1
rt @pahacerypyp: год  давно я не видеть выньд 98... комп унылый ...ь сюда ставить хрюшу... уже 2ой час пойти :(,0
@dimarakovich23 ничто не мочь с себя поделать) я в твиттер сидеть большой  чем в контакте),1
@aliya_g_ ну вот :( я думать найтись кто-то ленивый я а ты болеть абидка,0
но потом я встречать андрей и сердце замирать и ходить улыбаться весь день :(,0
я тут растрогать до слеза буквально. ох.н любить этот день но ради такой слово готовый потерпеть:) спасибо тебе. кома адресовать тот понять,1
надо идти рисовать  делать урок  убираться и папа с ремонт помогать...ный нет блин я сидеть и ничто не делать ибо ничегооо не хотеть делать(((,0
@idrisovmiami добрый вечер,1
никогда не думать  что быть переживать по повод учёбы. пиздец  человек меняться  да),1
я так давно ждать это дня! а ты не пришла(,0
rt @pabecemizury: заткнуть я рот....отрежде я пальцы...ть очень хотеть он сказать что он я нравиться...(,0
@alekseevao_o весь ок как настя сказать ахпха,0
@yothisissuccess и катя в последний время перестать я удовлетворять;(((,0
@olkrow а у я туда летом попасть не получилось:(,0
@ohmycranberry дык позвонить бывшему))) быть веселье!,1
rt @jilyxyjores: семейный совет постановил: в патрик мы не участвуем. :(,0
rt @punk_rock53: @ak_echelon о отличный песня) а я sum41-handle this,1
такой печаль  новый год  каникулы  а я заболеваю:(,0
@viktuar1964 @cezaruschaman @psykero1477 верю) я такой низя,1
ухо  не боль  пожалуйста :( весь день мучиться правый быть тот  кто сказать ещё утром срочно ехать к лор  а я как всегда,0
мило когда в чс висеть а фотография видны. большой ничто и не надо),1
rt @real_anyak: и весь таки этот trip очень сближать мы :) очень рада что поехать ,1
@just_dari ну если грустить бессмысленно  то вай нат?),1
rt @ceziqabyxol: иногда так приятно просто послать человек в задница =),1
мой кот тоже любить питер паркера:))) он смотреть тв и улыбается:))) мой кот единорог:)))* http://t.co/vujwhn8nxk,1
ну почему дио не достаться высокий нота в мираклеса ин десембер:( http://t.co/6vurljzk7w,0
надо в порядок привести. а то у я в тег ада какой-то. :(,0
ох хорошо послать свет три снежок в голову...н а я один в лоб),1
"""вкусно все!))"" @ кафе пикник: http://t.co/h7aich14ax #foursquare",1
"@gaelle_kor на сайт ""первое канала"" можно посмотреть!)))",1
некоторый пост в твиттер так и хотеться лайкнуть  но нет такой функционала(,0
штаны в паласачок  кепарик в клетачка  непамещаец лава в барсетачка ) под ручка клевый  канаета девочка  штаны палосочок ,1
@grandisognatore дадада  на 90 минута превратить 0-1 в 2-1),1
как жаль  что этот прекрасный день отдых кончился:(,0
сегодня к школа подъехать труповозка  сначала я обрадоваться  но оказаться  что кто-то просто решить подбросить сын до школы. (((((((,0
фильмец вообще мировой!ий надо смотреть не маленький чем с blu-ray!короча николас кейдж рулит! :),1
rt @xefezagycig: нахрен...ный улица тепло  в помещение сквозняк...жудь :-(,0
уточка :d и на голов - баранчик шон :) бред   карочий . скучно быть http://t.co/bvrnj09cuw,1
очередной подстава с расписанием( и зачем  спрашиваться  я так рано вставала?,0
rt @cowosapovewe: infinite stratos — ep09: бугага! гарем собранный  пора на пляж. весь по канонам. %),1
ток узнал: трахтенберг умер((!!!! кто теперь быть на ночь расказывать я анегдоты.,0
теперь весь понятно  почему хэш назвать обезьянкой) / / #kyuhyun #donghae http://t.co/8pcfb80bci,1
нафиг я в школа приходить из за ддвуха уроков((,0
@dashalushchenko из-за тот  что я жить в мухосранске:(,0
@gretasaakyan скинуть я  пожалуйста  в личку) быть благодарна=*,1
кстати мочь я большой не напоминать о нем.этый лишнее.прошлое.ь забытый абсолютно не нужное),1
одноклассник суки! напиться проблевать  проспал!(,0
@dariasmith8 патаму щит я тя лю* ты хороший:) не обсуждаться  рить,1
@anton_tar скорый восстановление вашим! действительно  перебор с травмами(,0
опа! казаться у путин очередной внешнеполитический победа. ай да вова! и правильно  сам жить как свинья и другой научить ),1
подготовить машина к зиме-200 бакс как-будто и не было(,0
unfaithful — один сплошной грустнявочка : (,0
я приехала! :) крым хороший  красить  но далёк! теперь от отпуск надо отдохнуть бы :),1
как же я не любить писать кривая код! а другой не уметь :(,0
@kirian4eg @asterchik @stefengillory @yutakaoka спасибо  кэпо я в последний время не доверять едальня  пиарящийся в вконтач без сайта. (((,0
rt @svetka_o_o: простить за весь хует извиняться дико ты влюбить в себя истеричка дура и псих,0
таить  таить не быть мы на таить мы и тут неплохо кормят) http://t.co/erdr59uzik,1
не любить разговаривать с мама она я абсолютно не понимать :(,0
@klimaxa @yaakuch @vysockayav вечер спорта) 11 тоже должный быть,1
сто звонок по пустяк от хвостика-это так классно),1
ты мочь сделать что-нибудь хороший  чем это. o:-) #followback,1
играть в хоккей а сколько раз я упасть пласт на лед...ужас просто но я понравилось:) http://t.co/yqg8jjm6jd,1
“@sssmirnov: @slavamakarov @ponny1 @mrzff за хуяние  мудить ты ебаное” это так мило))),1
-люба ты че застыла? -погодить я кемперю. -а идти куда? -на респу. -давать спидкаха включай. -не я холд большой нравится. :-d,1
пздца до такой степень привыкнуть к одиночеству.что отказать парень который я так нравится:(,0
главный  чтобы рядом. настя  даша. ну вы один у я (,0
с какой же частота сниться сон о поездка и поезд :(,0
@bolderdenes @urangoo_a жиргээ интервьев ээ удахгүть авна. чи бүх асуултад хариулна шүү :-),1
rt @ukixohoduw: надо выползать из дом  но как же лень...%),1
@aliselost привет  нормальный  только инуть еле пахать :(,0
заставить себя учить семинар:(((( ещё и история:((( блинблинблин,0
rt @zojucyfonyr: прикольный город саров  да. только вот не успеть я посмотреть музей :(,0
я открыть дверь  он в нея войти жизнь мой теперь это рок-н-рооол:),1
съёмка фильм понравиться :) и день сегодня быть такой насыщенный ) весь хорошо на фотка получиться ) особенно этот танец на столееее) бляяять,1
нет нет нет .. ну реально только не это. я правда не хочу(,0
rt @alla_blag: такой чувство  что я жить только квн-ом и тус с друзьями((,0
вот доделать текущий проект и релизнуть хороший фильтр ввод для друпала. там быть весь :),1
@polosatyjmyx  вообще(((( сидеть сочок в один пью((,0
урааа! @dolbysystem  вот! я же говорила!))) #davaidinamo,1
@angelinav1999 ахи .. блять  седень день траура(( но я пощий то упрт,0
саша научиться делать скрин  теперь скринит весь подряд:d,1
- а чо за фильм с роберт патинсон ? - милый друг - а у он милый друг ? :d - о да   милый :d,1
анна я рассказать про вас. =( #ff #follow,0
@anastasiameln ну я верныыыыый даже при весь желании(((((((((((,0
мы без мама плохо  мы без мама скучно( http://t.co/wuqjjeoezr,0
записать и прислал. красиво - капец. я ничто адекватный сказать не мочь  просто сидеть и тянуть улыбка от уха до уха)),1
вспомнить весь  за кто бегал) хах) не разочаровать в принципе) прикольный было) странно  что ничто общий нет  видимо так меняться и сам.,1
каюта капитан должный быть там. о-) #teamfollowback,1
весь считать день до новое год  а я до лета(,0
я ленив: настолько ленивый  что позевать зряплат o_o,0
1949 оноос хойша 1 200 000 тvвда хятадада алуулсан гэх юм :(,0
как научиться молчать  когда муж орать на тебя? / — ой  девчонка  я вы умоляю! тут хоть бы научиться в это время не ржать)),1
бомбусмода вовремя не освободить память и упал. :-(,0
ох. не ронять на я сервак! я хотеть завтра на фестиваль  а не сидеть и материться в скайпе),1
пальчик по кожа  ведь мы так похожи... :(,0
@olgaklein какой ужас ( какой надо быть человек   что бы так по свински поступить!! но нечего  олечка! весь равно вы самый суперская!,0
rt @sukhareva_m: @dinocoon @00_kalashnikova я тоже там в чс лола сам не знаю(,0
rt @hibubylejub: под марфушина туесок говнасап ещё не сделали? :),1
сегодня погода просто класс но блин маленький бы ветра:),1
идти гулять)) хоть что-то радовать  отвлечь от мысль о учебе)),1
ну вот опять начаться тот период когда весь насрать на тебя(,0
@marra_paulas @lykke_456 видимо  весь так прихуесть  что ди и си выпустить на один сцена  что забыть  что другой фотографировать тоже надо(,0
rt @elizaveta_kuko: мой ноут не любить соколовский :(,0
и вот...ть снова плачу( я плач уже пять раз за этот день..ь честно не знать  что с я :с,0
один варешка каринк отдать второе илюха забрать емаё в чем я ходить то буду?:d,1
хотеть в кино на новый постановка керри но никто не хотеть идти с я ;-(,0
"наткнуться на песня к новый фильм ""полицейский история 2013"" в исполнение @eyeofjackiechan . уже 2 час только она и играть в колонка ))",1
@mikey__fuckin ваха ваха  какой смайлик:d #слишкомупороть,1
@yuliakuzh не получиться мощный день  ну мочь завтра будет)нета повод расстраиваться),1
весь   весь  весь огромный привет =)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))),1
блять выйти з почти:( а я пароль не помнить вообще:( пизда,0
грустная( печаль беда. за то тгп на сотка сдать,0
@noirrius чо прощай-то. я чисто некст-ген запустить -),1
rt @lifegood3: @aprelskaya95 я тоже( выздоравливать,0
какой быть этот зима? — зимней.:d http://t.co/rxfc8dkfqo,1
rt @shefild_07: @hard_soft_porn бииже  жуучий  ты как всегда чудесен)) спасибо ты огромнейшеее)))) мы также быть упарываться и далее)) спа…,1
rt @vady_dubovets_: друг  завтра в 10:00 в 33 гимназия ярмарка. приходите),1
@starcevavictori @artemenkodarya а я то что?:((,0
надо быстро позавтракать одеться собрать вещий и ехать!!))),1
rt @malika_69_: @nastya_650 свадьба сёдень приходи))),1
rt @yourstjimmy: джерард чот такой чикуль :d /рэй  рэй  рэй :333333/ http://t.co/2mwg1fdjzs,1
@tpavll :d я ничто не знать о твой персона  но ты всегда писать нужный вещи.,1
я представлять твой радость. ведь ещё недавно сам пережить подобное) как же я рада) это маленький чудо попасть в хороший руки)!,1
на 25 год я подарить два машины-жизнь удалась!) #auto http://t.co/ez5qyht0q7,1
#echelonlovesfathers лента  ты один большой вонючий катях((,0
@uuunt1 @cekc_mypucm ога  коты - любимый еда альфа:(,0
@viktoriyakalina и я стыдно но хорошо никто не увидеть наверное(,0
rt @malishevae: я теперь быть страшно летать на самолете( http://t.co/1ggdrasdnr,0
@v_solomonenko я тоже бутылочка к вечер сегодня взяла))),1
в здоровый тело здоровый музыка! бг сегодня с я отжиматься пока я бегала. так-то) http://t.co/gt18rjyuhe,1
это просто кошмар((( http://t.co/hjfyr5wjzy,0
сегодня просто грех быть не списывать) весь группа трудиться ахи респект такой преподать ),1
говорить в нос... и капля не помогают(( уже не знать что сделать  чтоб этот фигня пройти,0
@unicorn28601 дааа я в 11 класс учусь(( старый я =(,0
@mm__caxap я ты тоже видеть  но я не в адеквате)) и не в стд  да)),1
фармакологіть  ну хто ты придумав? а? неділь  а я як задрот з книжка і зошитами сижу(,0
ну вот с один сторона круто чт ты читать мой твт а.п  но юбка у я нормаааальная!ок?мна смешно даже от этот ситуации:d,1
мой счастие самый красивый глазки!!!))) они голубой и я в они тону!))) http://t.co/twuplexmha,1
время-то уже обед! а я  поскольку федора ещё ставиться  остаться без мультик :-(,0
езда в час ночь в магазин за генератор  это охуенно)),1
rt @eco_novator: @_k_m_v_ другой глава)) http://t.co/kahdjglhj4,1
@alekseeva_m уже поняла. я сначала думать  это не давление  теперь уже поняла. хз какой даже тт но плохо :(,0
rt @castiel_holmes: @landi_love1d и я ты оч любить дирик),1
@antoiiikazlo отвечать  но потом в ответка лещ полететь ;),1
по4ий весь в жизнь так не спроведливо? встретить парень в апрель и вот мы общаемся! а в июль он уезжать навсегда! ппц грустно=(((,0
@littlevantie ахах  ну ладно.) гуашь - это круто акварель - не для меня:с,1
завтра посвящение  но весь печально!(( бела футболочка нет( #жизньболь,0
как часто ты посещать рестораны? — сейчас я уже не ходить на свидания:( http://t.co/wjmkinlcxk,0
у я голова сейчас просто взорвётся. чертовый питерский погода..;(((,0
@muuur_ka не разговаривать с она она я не дает*((( приветик котлетка,0
трижды четыре - двенадцать. 3:-) #ru_ff #ff_ru #followback,1
самый охуенный ночь  к сожаление  закончилась...(,0
малый пересмотпеть сверхъестественный ) http://t.co/ivexb2alcb,1
rt @cvetkacvetka1: костюм как у шлюх. однако я понравилось)),1
один нах! аффтара жжот нипадецк песдарно /:-( #ff,0
@hateyou666 аха да есть немного) а вот ким хен джуна как измениться о.о такой накаченый),1
@alexsheglov кубок конфедерация с ты бы не согласился),1
весь сегодня он напишу: -здаров малая! -что так и напишешь? ахахха ошибочка:),1
@lyakoste блин  а у я четное(((лан рахмат!,0
@viktoria106 я весь выворачивать  нет  я не мочь большой :((((((((((((,0
даже на привоз уже стоить ёлка  а на майдан нет((( http://t.co/blqdl8jt8x,0
virtualbox с гостев винда выдавать bsod при загрузка  переустановка не помогать :( возвращаться обратно в vmplayer,0
@_samojlov @niallofficial этот ангил апичалить найл :(((99((9( сцук (((99(9(9,0
сделать один самодельный открытку) надо постигать это искусство...,1
проспать весь вечер и опять бег в объятие постели),1
если девушка скромный  но в душа сумасшедший - это мечта.),1
никто ничто не знать  никто ничто не интересно  никто ни до что нет дела. э:-) #ff #follow,1
@absurdtheater за 1000 год много что мочь произойти... ,1
божееий  весь мой родственник узнать что такой интернет  просить id в вк и отправлять по ватсапп всякий дурацкий видео :( пиздец :(,0
@von_keln @almazdeldiablo я и не собирался. у я она нет(,0
http://t.co/6msgqnjupm - дуров  устрой мы падлу: открыть мнение вконтакте! тогда  наверное  половина россия пересрется.) ,1
что-то я не втыкать в весь этот разговор про железный дорога якутия :( и вообще я хотеть быть дальнобойщик в америка #мечта,0
@xlesherx @4eu3 зря вы с этот хуйный шутите)) я много история наблюдать в режим рил время по работа с русский который разбиваться на они,1
мой безумно обожать брат @g55_lover - наркоман)))) ,1
с добрый утром) — с добрым:) http://t.co/ugsrspkfrl,1
